# %ECSV 0.9
# ---
# datatype:
# - {name: magma_id, datatype: int32, description: cprops island number}
# - {name: npix, datatype: int32, description: number of xy pixels in island}
# - {name: xctrpix, datatype: int32, description: median x-position in SAGE WCS}
# - {name: yctrpix, datatype: int32, description: median y-position in SAGE WCS}
# - {name: ractr, unit: deg, datatype: float32, description: RA (J2000) corresponding to island center}
# - {name: dcctr, unit: deg, datatype: float32, description: DEC (J2000) corresponding to island center}
# - {name: rarcm, unit: arcmin, datatype: float32, description: distance from LMC rotation center (2014ApJ...781..121V) (not deprojected)}
# - {name: sp8med, unit: MJy / sr, datatype: float32, description: median 8um intensity within island}
# - {name: sp8std, unit: MJy / sr, datatype: float32, description: spread in 8um intensity (from percentiles)}
# - {name: sp24med, unit: MJy / sr, datatype: float32, description: median 24um intensity within island}
# - {name: sp24std, unit: MJy / sr, datatype: float32, description: spread in 24um intensity (from percentiles)}
# - {name: comean, unit: K km / s, datatype: float32, description: mean CO intensity within island}
# - {name: comax, unit: K km / s, datatype: float32, description: max CO intensity within island}
# - {name: costd, unit: K km / s, datatype: float32, description: stddev of CO intensity}
# - {name: stmean, unit: solMass / pc2, datatype: float32, description: mean stellar surface density in island}
# - {name: ststd, unit: solMass / pc2, datatype: float32, description: stddev of stellar surface density}
# - {name: tdustmean, unit: K, datatype: float32, description: mean dust temperature in island (2019ApJ...874..141U)}
# - {name: tduststd, unit: K, datatype: float32, description: stddev of dust temperature}
# - {name: ndustmean, unit: solMass / pc2, datatype: float32, description: mean dust col density in island (2019ApJ...874..141U)}
# - {name: nduststd, unit: solMass / pc2, datatype: float32, description: stddev of dust col density}
# delimiter: ','
# schema: astropy-2.0
magma_id,npix,xctrpix,yctrpix,ractr,dcctr,rarcm,sp8med,sp8std,sp24med,sp24std,comean,comax,costd,stmean,ststd,tdustmean,tduststd,ndustmean,nduststd
1,1146,2401,4503,84.87519,-71.5404,187.14496,1.045182,0.21171173,0.3345558,0.09597696,1.1647314,2.5631924,0.75130004,49.795387,0.2726222,18.340403,0.3869825,0.11090264,0.02276807
2,36203,1851,6354,86.90121,-70.69342,190.06647,1.3998349,0.2756917,0.45008135,0.13078213,4.242973,15.672386,3.3135133,55.54099,1.7746521,19.031515,0.56962734,0.10949102,0.033597346
3,2895,1774,6604,87.166,-70.577896,192.20116,1.2237207,0.18098119,0.37919667,0.095027305,2.0193403,4.225522,1.1366953,53.96591,0.4191594,18.589592,0.40068784,0.081374355,0.02118762
4,5152,2317,4516,85.020035,-71.55116,189.53055,0.91652334,0.19595918,0.31527925,0.111861624,3.2720888,10.302427,2.8193288,49.1646,0.7817609,18.644928,0.68746436,0.11238951,0.03340749
5,1517,2356,4628,85.030304,-71.48554,186.89044,1.2129548,0.24614646,0.39522576,0.103245735,1.0964766,2.6031356,0.55251884,51.302467,0.0,18.374939,0.40814105,0.1582383,0.018072333
6,12124,2146,5010,85.61558,-71.3318,189.04759,1.3025173,0.22918671,0.5740285,0.16989806,2.2998595,6.766087,1.5118796,54.359512,0.8586773,18.441166,1.0614284,0.16099012,0.047426328
7,5864,2510,5102,85.09064,-71.210014,176.60188,1.8023238,0.2979746,0.98499954,0.22814773,3.2417345,11.159127,2.3581977,56.895145,0.62558776,19.814434,1.3569634,0.24051932,0.05162848
8,10238,2331,5016,85.3219,-71.291084,183.14954,2.0152278,0.5178087,1.361365,0.6712915,2.67222,7.5514293,1.9890305,55.638912,0.6940501,20.56559,2.0423012,0.18558623,0.037982795
9,1133,3139,5216,84.16878,-71.01906,155.5875,1.1863189,0.21448855,0.43096045,0.1240229,1.1421499,2.9035506,0.7207259,59.37742,0.4992574,19.609465,0.31679198,0.09005824,0.02331556
10,792,3234,6703,84.97205,-70.23638,143.58682,3.8609219,0.7979036,1.9196186,0.3765974,2.3615286,4.534187,1.238929,98.5658,7.6293945e-06,21.06688,0.1022462,0.2589978,0.018962523
11,674,2098,5343,85.901726,-71.16947,187.45995,1.5101347,0.1616196,0.4890332,0.074185394,0.9705521,1.907866,0.3815785,57.16404,0.42877588,18.583828,0.2473645,0.12749545,0.018424977
12,5938,2573,5855,85.46744,-70.80929,168.3369,1.4159925,0.11976938,0.43020424,0.057366967,2.1975594,6.6847534,1.4957316,66.046394,0.43956697,19.319843,0.3958199,0.107022494,0.0162712
13,1134,2810,6042,85.21385,-70.664375,159.52898,1.9439967,0.3303703,0.79162765,0.19650975,0.9957816,1.5043379,0.2762087,70.2519,0.67070144,19.367758,0.1431914,0.1667417,0.012131806
14,3329,2726,4888,84.60639,-71.27481,172.25995,0.85849243,0.108413704,0.23778525,0.07975667,1.3773236,3.3929644,0.7303018,52.70803,0.37317702,18.728125,0.44936588,0.086578,0.01725858
15,794,2781,6088,85.28755,-70.646645,160.25824,1.7992767,0.24193843,0.7671718,0.11980262,1.1870846,1.8389959,0.4558282,70.71107,0.26526162,19.96965,0.4083081,0.1534958,0.01823911
16,976,2255,7653,87.01664,-69.93991,178.5684,1.9113232,0.22974135,0.72948873,0.11900383,3.2437248,7.944929,2.5478425,38.97526,0.037529137,19.014874,0.16453843,0.23182422,0.020898772
17,1089,2381,4660,85.010826,-71.46392,185.71825,1.4149411,0.118931346,0.48167214,0.06646311,0.8784695,1.891904,0.44995257,51.389698,0.24447353,19.41482,0.2655005,0.11975144,0.012194444
18,1248,2207,4851,85.41574,-71.4014,188.84236,1.0553378,0.12193102,0.4087435,0.097989336,1.3797474,2.258635,0.5317179,53.027607,0.45362446,18.164572,0.41061488,0.09420902,0.024356745
19,8545,2081,5414,85.97294,-71.136154,187.42438,1.3961575,0.13405095,0.4416208,0.06268674,4.4129167,13.071463,3.640944,58.14753,0.91813886,18.494799,0.5070038,0.1488531,0.035367697
20,4999,1973,6256,86.65212,-70.72088,186.29356,1.2235464,0.15467444,0.3562119,0.100799434,2.234594,6.213921,1.659704,59.118412,0.83527607,19.671192,0.58951145,0.067276426,0.018137982
21,1353,6336,4603,78.84853,-70.56846,82.72756,1.3868644,0.31303403,0.57613504,0.20216516,1.808025,4.2381716,1.1738732,55.24115,0.9896582,19.530336,0.5330002,0.09250232,0.027382856
22,10203,1793,4885,86.1084,-71.466965,201.48273,0.93717074,0.123700365,0.2427561,0.06819196,2.5246696,8.777575,2.2192051,43.33072,1.6646066,16.680939,0.482074,0.1577025,0.031146009
23,5818,6393,4558,78.72932,-70.57575,83.1476,1.091135,0.30605495,0.40969765,0.1900512,1.7948251,6.2948675,1.2083093,53.711697,1.1780962,20.754921,1.1767317,0.053886328,0.031839296
24,2704,3243,6484,84.82248,-70.347084,143.58742,2.3359423,0.32391062,0.8704386,0.17506546,2.528123,5.668176,1.6258107,99.14429,2.5386038,20.50789,0.34539,0.13938965,0.0112917395
25,3448,3144,5857,84.57838,-70.689766,149.6866,3.2254453,1.323507,5.1307545,3.1328812,1.964255,5.329991,1.2685547,72.666275,1.0418569,24.511143,2.1560962,0.15077731,0.048886877
26,1006,1828,4946,86.08964,-71.428474,199.75362,1.1158512,0.086469956,0.35193658,0.05638241,1.0971891,1.4521301,0.260104,44.495323,1.0864851,17.395567,0.46894094,0.1496087,0.03720684
27,3725,3112,5248,84.23236,-71.008484,156.08557,1.1909617,0.21516721,0.45003068,0.120548524,1.3523827,4.6507163,1.0700996,59.749237,0.44560093,19.680227,0.5767192,0.10466718,0.041948058
28,2885,2588,5528,85.23876,-70.974724,170.1571,1.2088145,0.19172566,0.36547846,0.10356992,1.2637593,2.6795294,0.67017466,64.985504,0.24629356,18.91079,0.67819273,0.09578537,0.021424096
29,7846,2394,7719,86.843094,-69.87891,174.39523,2.6003375,0.4903465,1.2007368,0.28619456,4.062281,11.808914,3.0884767,41.164577,0.97207844,19.495176,0.504305,0.2715413,0.090771265
30,3625,2075,5586,86.08841,-71.04835,186.3258,1.2338336,0.124404944,0.36807066,0.05555487,2.3822215,7.5611267,2.0171504,59.05141,0.8641544,18.987623,0.5209403,0.10244263,0.015683226
31,4343,3371,6534,84.65864,-70.29451,139.2335,3.3844497,0.61159617,1.3563141,0.30520198,2.8512833,6.772656,1.8546001,107.87271,1.640282,21.147413,0.21600515,0.15068221,0.031733397
32,159525,3153,6762,85.13148,-70.22283,146.26471,2.9772906,0.9365512,1.431941,0.498509,5.8719344,43.70163,5.4614434,92.368256,10.859417,20.839844,0.7529154,0.22639026,0.0761592
33,1228,3683,7449,84.75465,-69.75895,130.59093,5.9399357,1.1171179,5.057201,0.8712177,2.1465569,4.166774,0.9248832,84.01949,1.5719202,23.53094,0.23369104,0.2586705,0.013933901
34,6454,3652,4082,82.5745,-71.482,157.54947,1.135704,0.1689594,0.3542909,0.101306036,2.5213413,6.2761807,1.5364339,45.947575,0.096719064,18.385323,0.39631397,0.12055896,0.028654356
35,2545,2621,5440,85.130775,-71.01322,169.83247,1.4055703,0.22517815,0.51673305,0.1435701,2.723787,6.7952323,1.7660993,63.786186,0.28321564,18.642817,0.75919086,0.15168335,0.06451812
36,6173,4433,3386,80.81536,-71.64764,153.11928,1.324699,0.3433796,0.6123813,0.22844662,2.8398972,8.41824,1.8567587,36.770226,0.36642653,18.449034,0.56675875,0.12165576,0.049850237
37,3525,2708,4846,84.60745,-71.30013,173.32852,0.8555769,0.10870927,0.22384097,0.072131425,1.2410042,2.9752958,0.67593855,51.755566,0.51683885,18.319565,0.44029212,0.09600835,0.013635744
38,955,2114,7526,87.16034,-70.03291,182.56392,3.0948799,1.0329139,6.2396655,3.232549,1.8380021,3.172899,0.81212264,38.23391,0.9582158,23.00809,0.7870235,0.23300679,0.051347952
39,6852,4123,3018,81.02543,-71.90595,169.09811,0.79736185,0.115901925,0.16169153,0.06197291,1.6230155,4.462745,0.7823269,34.38906,0.6579001,17.407476,0.9911696,0.07925171,0.03489674
40,15777,3784,3662,82.05744,-71.6634,162.47739,0.84427726,0.08917211,0.2210165,0.059265636,1.993128,6.239957,1.258266,39.998905,0.80628604,18.393055,0.52435154,0.08925625,0.019035667
41,2541,2156,7438,87.04715,-70.07079,180.79756,3.1049492,1.1735935,1.8064908,0.91322225,1.1889508,2.2611048,0.47494805,40.88618,1.1441537,20.530056,0.6273179,0.23008308,0.06392286
42,6372,5518,3673,79.34888,-71.23579,123.327156,1.6196234,0.6585189,0.8205391,0.4885977,2.2289836,8.0403,1.8546014,38.29193,0.7340277,19.927626,2.599782,0.14300594,0.06622499
43,3286,2507,5712,85.4821,-70.89647,171.40916,1.1532744,0.117815,0.349442,0.07370414,1.0544266,2.615887,0.56986207,65.21523,0.21870913,20.204199,0.34484312,0.06201965,0.0065464927
44,9320,2083,7367,87.11899,-70.12167,182.93471,3.9867353,1.4074764,2.510369,1.0677736,3.8738856,11.571092,2.9495842,41.068893,1.3828573,21.38547,1.259622,0.32155427,0.06914157
45,12760,2270,7731,87.03732,-69.896416,178.52315,2.3107686,0.72913694,1.0984352,0.47656977,3.5529237,14.640149,3.0316463,38.904495,0.95923007,20.201681,1.2996424,0.22938943,0.07644457
46,10858,3578,4611,83.06646,-71.23093,150.41818,2.6755505,0.8022244,1.1758132,0.4224124,5.8051934,21.823198,5.4790945,50.107388,1.0004718,19.737757,1.0358187,0.26797813,0.13453054
47,1809,3423,5561,83.95329,-70.781555,143.06673,1.4478893,0.39079145,0.5627238,0.18331754,1.2621562,2.4277568,0.5398262,68.95366,0.6108055,20.363482,0.29053366,0.08127847,0.025084825
48,1291,3198,5940,84.54792,-70.63579,147.3849,1.7095268,0.6862409,0.6725826,0.2946809,1.5683787,2.749078,0.673608,75.98327,1.2893101,20.395008,0.5182388,0.09855978,0.012389983
49,842,3729,7822,84.9118,-69.55757,131.82382,6.4735785,0.7969678,11.243032,0.8360611,1.2449379,1.897994,0.45092756,63.826836,0.0,24.80434,0.08731097,0.25369588,0.02259818
50,65609,3106,8362,86.143,-69.40574,157.0352,3.03612,1.121734,1.8627144,0.754501,8.130967,33.97914,7.1225414,43.70443,1.115822,20.48551,0.86304545,0.30271995,0.1158364
51,1070,4373,4870,82.01006,-70.918526,123.1754,1.5151284,0.37497634,0.69756544,0.19843145,1.6155351,2.62336,0.6025171,57.614697,1.2001209,19.927578,0.29961157,0.1050356,0.014280838
52,45407,4222,4109,81.693184,-71.336426,141.79996,1.0800083,0.24215496,0.37835944,0.15662812,4.0609875,12.878456,3.0326896,41.850357,1.1469572,18.515673,0.85685766,0.1235626,0.058895998
53,1418,1788,5556,86.52868,-71.12024,195.85938,1.1174302,0.104167,0.32278162,0.05861836,1.2370813,2.5780444,0.60867816,49.56152,0.7754843,18.758484,0.14542054,0.09061095,0.011114974
54,3174,6893,3745,77.33839,-70.83923,103.15189,1.388255,0.34109244,0.56928813,0.20967981,1.6986955,3.8475277,0.87920153,39.807922,0.82093054,19.275053,0.26936668,0.08930972,0.019500345
55,2612,4428,4959,81.98889,-70.86091,120.093124,1.5580809,0.33383575,0.56976354,0.15700343,1.8670539,5.1703773,1.3232163,60.860985,0.9198781,20.195208,0.40938365,0.09744414,0.02861741
56,5715,2670,5997,85.40389,-70.71628,164.36012,1.43061,0.180232,0.49037027,0.095957756,2.1781158,6.2325377,1.5161575,68.09743,0.6168843,19.130625,0.6087653,0.12644795,0.013452801
57,5677,5849,5548,80.27912,-70.22486,69.67063,1.5528538,0.35018715,0.6574431,0.18804352,5.540495,15.230629,4.220488,107.262085,2.5626442,20.098001,1.0500782,0.11973126,0.061613277
58,3738,2299,7567,86.901764,-69.97627,176.67319,2.2648182,0.32828394,0.91415906,0.15530628,2.5683396,7.018765,1.7742134,41.531166,0.8225802,20.000824,0.3122205,0.17721751,0.02330946
59,20879,2630,5148,84.929115,-71.16148,172.33487,2.3505595,0.7165964,1.2795002,0.56603974,5.8455634,30.91245,6.5983953,57.679115,1.0686219,19.61979,1.6914896,0.2683739,0.13295016
60,25131,3829,4718,82.74709,-71.1202,141.38704,5.5033827,2.4364045,6.3894167,3.642745,4.497791,16.252579,3.712467,49.759525,1.1148038,23.484158,1.4124357,0.3236653,0.14334664
61,3667,4080,4743,82.37324,-71.0503,133.71733,2.637897,0.9457576,1.6805353,0.60567105,3.073734,7.0416083,1.9194481,51.16533,0.7382582,21.36237,0.71990985,0.16382062,0.05552642
62,3506,3371,6655,84.73421,-70.23239,139.06345,4.49727,1.0304441,2.103569,0.44551504,5.417834,15.91352,4.1096134,108.440834,1.4480807,21.001974,0.34934357,0.3002078,0.07894221
63,11418,8269,5960,77.148605,-69.39285,36.28934,2.8368125,0.63488525,1.5283887,0.40412375,4.934516,17.071404,4.2687488,101.255844,1.5999099,20.96939,0.5104063,0.18956277,0.06244834
64,4400,4350,3631,81.13415,-71.54541,149.1811,1.5342422,0.526433,0.74017996,0.33889374,2.6857932,5.5569673,1.4120514,38.80669,0.15966846,19.111155,1.4217505,0.15922806,0.051952917
65,1193,2058,5487,86.054726,-71.10296,187.59926,1.2591021,0.09456171,0.3752722,0.046999574,1.2323414,2.5798373,0.64819956,57.56952,0.7292197,18.671192,0.22595277,0.1267107,0.012543752
66,2647,4074,5026,82.5817,-70.90871,129.39435,1.9122274,0.62087053,1.1669409,0.44232526,3.116629,8.183485,2.1435142,59.639,1.2870637,20.44506,0.33297515,0.14729224,0.048068296
67,2698,3102,6325,84.93919,-70.45826,148.70338,2.0275016,0.38025406,0.8034989,0.17258473,2.0840154,5.326866,1.4569747,84.73388,1.0306543,19.94702,0.367311,0.13734064,0.02633432
68,1188,3767,7947,84.92993,-69.48524,131.7652,5.960291,1.1771106,11.465054,2.3853765,1.7185781,3.0306425,0.737868,60.90368,0.5468057,25.055527,0.36398456,0.24730213,0.030719955
69,15848,2705,7701,86.36421,-69.827774,164.11884,2.4880738,0.60795385,1.4750812,0.46078795,4.71223,13.55469,3.4463637,48.313084,1.1400443,21.252827,1.2365689,0.21155825,0.06440682
70,674,3117,7725,85.76115,-69.73329,150.84612,4.0392237,1.5924721,3.6058078,1.4860982,2.0450854,3.5382187,0.8665059,57.603157,0.0,21.147491,0.4473187,0.22406246,0.050785363
71,17178,3675,7706,84.92183,-69.62852,132.59804,11.827499,3.9257505,19.176397,7.470339,3.393504,11.646232,2.6003113,70.13884,3.174744,25.420479,2.2869372,0.5403793,0.20178771
72,1860,5301,3782,79.76825,-71.23663,124.489334,1.2287161,0.3705377,0.49324274,0.23633255,1.5289123,3.2579517,0.7328147,40.44616,0.3009497,18.446142,0.4614516,0.11368752,0.030110806
73,4021,4268,4827,82.14146,-70.96457,126.909225,2.2253668,0.6143793,1.1993413,0.40040368,1.9431858,5.3109303,1.2483087,54.852764,1.158246,20.179821,0.31301478,0.15465301,0.040695745
74,3672,3407,7181,85.003494,-69.95447,138.48647,3.5521882,0.86792636,1.8136456,0.3628176,1.8906848,4.583204,0.94891346,85.87335,1.6222076,21.873838,0.51559186,0.19118933,0.040921602
75,6811,7408,3265,76.17706,-70.92843,116.90904,1.5455477,0.71330494,1.7447555,1.3043507,2.7945035,10.7988,2.11995,28.421385,0.8117713,21.435238,3.6256528,0.13561404,0.06454747
76,4719,5645,4679,79.93535,-70.706795,94.16063,0.9712001,0.16414882,0.39523888,0.11488394,2.3805299,5.5691667,1.3347293,58.041393,1.1120551,20.304392,0.64995646,0.06944416,0.023197938
77,4642,2183,7331,86.944984,-70.12126,179.48494,2.484505,0.4941179,1.0662403,0.23423731,2.2383964,6.386075,1.5290644,43.77777,1.0723144,19.38986,0.30518427,0.22538008,0.050516706
78,4460,7874,4547,76.57671,-70.18342,74.9629,1.8791584,0.76616704,1.0293024,0.5022904,2.276592,4.6187196,1.0512044,52.36687,1.1346071,19.465338,1.0762455,0.1564945,0.04701633
79,2995,2986,8521,86.40872,-69.34697,162.62022,3.0600855,0.575398,1.8953717,0.4384352,1.8479568,4.2165546,0.9519826,39.647804,0.8782244,21.329212,0.34192777,0.22107293,0.038873017
80,1236,8139,6023,77.3758,-69.39789,31.903522,4.180053,0.8572377,1.7332293,0.31922266,5.7755866,13.212301,3.4339354,107.23547,1.8151861,20.722187,0.534486,0.21544774,0.05722995
81,953,3989,4586,82.40359,-71.150444,139.00061,2.6479344,0.6702009,1.7024329,0.5784331,2.5421917,4.862885,1.3016132,47.961308,0.5087906,21.348106,0.33450732,0.16930553,0.030278685
82,2203,2867,5968,85.07891,-70.6907,158.05296,2.2611122,0.36503863,0.91484064,0.1619604,3.383933,6.9866123,1.876844,70.53121,0.30165222,20.214296,0.17762919,0.16745512,0.018097581
83,3621,5597,4589,79.93922,-70.763374,97.45699,0.9754151,0.18375975,0.3771703,0.11321059,2.9069965,6.7663326,1.8820856,55.755775,0.835929,18.89755,0.4484104,0.09152569,0.04140287
84,2883,3181,7056,85.26794,-70.065605,145.64265,2.718381,0.73514205,1.2481418,0.40090382,2.9632463,8.615884,2.3712208,81.70759,2.3911366,20.731434,0.625837,0.21866909,0.036508024
85,4239,5109,2550,79.07728,-71.89251,162.27388,0.6634925,0.0632015,0.21136934,0.07108172,3.5941439,8.954543,2.2961495,25.317335,0.3955925,16.509912,0.58095646,0.10257694,0.032936756
86,3087,4090,4184,81.95554,-71.32965,143.74309,1.0890876,0.111879945,0.33746374,0.072516754,1.6433988,2.9896464,0.7069864,43.50459,0.26124135,18.443886,0.26706156,0.10872388,0.010611867
87,3374,8022,6009,77.52656,-69.436295,30.030306,4.068638,1.3843635,2.0430822,0.62701607,2.3610287,4.9689093,1.2400361,109.864555,1.6765903,20.94109,0.36066678,0.20980124,0.03524741
88,1983,2913,4551,84.082184,-71.40742,171.0183,0.7923623,0.1473689,0.22478601,0.08807731,1.6760355,3.803066,0.9328464,49.950146,0.4535355,19.547415,0.7300463,0.0547776,0.020929392
89,2820,4007,4713,82.46562,-71.08219,136.31798,4.054962,1.5637599,4.1792274,1.4102567,2.1440997,5.3391943,1.4666178,50.162266,0.08267694,22.523228,0.3117047,0.20465538,0.046890672
90,2034,2457,7771,86.77715,-69.839714,172.66064,2.0217848,0.32364404,0.8518883,0.17690715,1.4128745,2.8445218,0.66818213,42.02809,0.21545821,20.212887,0.24130511,0.16954418,0.009987512
91,3268,3152,7721,85.706635,-69.728294,149.67955,3.01658,1.3365678,2.5954967,1.2595088,2.5631137,9.16772,1.8662205,58.503075,1.8457768,21.235666,0.7363058,0.18548313,0.08659809
92,3282,5253,3828,79.877594,-71.226166,124.25644,1.0497735,0.2172445,0.36966062,0.13719726,1.7371036,4.469857,1.0832835,41.00771,0.43434894,18.481728,0.5897915,0.08444513,0.018211821
93,2252,6443,5987,79.736855,-69.85887,45.06493,2.943904,1.0819178,1.2770689,0.5993907,1.8020327,4.056976,0.930862,148.97064,1.942411,22.087116,0.7555926,0.10109535,0.020786984
94,60880,3531,7408,84.95578,-69.81185,135.35683,6.144764,2.1894796,5.5462847,3.1356723,8.0123,41.547134,8.161434,81.22098,4.6034627,24.18206,2.428257,0.40966195,0.24196227
95,1183,5840,5630,80.35219,-70.18632,68.35606,1.6291037,0.2108413,0.6333771,0.10682895,1.7216508,3.6925616,0.9464945,115.47773,0.0,21.746115,0.48402533,0.054091193,0.0072798873
96,3624,4246,4356,81.83653,-71.20673,136.16829,1.5852338,0.35199326,0.5248272,0.16063091,1.8763072,5.020567,1.1581552,45.257935,0.63578224,18.416416,0.6370537,0.123774916,0.040061824
97,1126,2666,5785,85.27792,-70.82635,165.7416,1.209115,0.14106947,0.38588366,0.08566721,1.6665652,3.5498383,1.0659387,66.661385,7.6293945e-06,18.607006,0.17159234,0.09603058,0.009851437
98,1861,7302,3760,76.750496,-70.72022,100.67298,1.6014338,0.89779854,0.9276486,0.6585406,2.148069,4.5120816,1.1425422,38.795673,0.0,20.854132,1.6991259,0.08346259,0.054948952
99,4288,2870,6093,85.152504,-70.62574,157.30464,1.9379992,0.32378528,0.8066101,0.17249739,2.780307,6.802571,1.6050962,72.06641,1.1322422,20.388708,0.36353153,0.16493632,0.018940395
100,2083,2872,6165,85.19425,-70.58826,156.9131,2.8257093,0.52035785,1.3826694,0.28029537,2.1159632,4.8870854,1.2607822,72.56175,0.33623654,20.809189,1.1006782,0.20436616,0.020432701
101,4625,8130,4537,76.20636,-70.11693,77.00224,2.6799712,0.91405773,2.5458837,1.0700685,2.4064097,6.8821855,1.8746338,52.922012,1.0306673,21.903608,1.6518804,0.20551664,0.06260421
102,9379,10546,4606,72.97157,-69.37754,123.323425,5.456594,2.953472,10.53103,6.2159114,4.68132,22.406712,4.855971,31.812057,0.43056297,24.623363,2.9659352,0.30779615,0.21399967
103,791,4256,4417,81.8653,-71.17373,134.70876,1.1536016,0.14167012,0.34379476,0.07907138,1.5923977,2.9622943,0.81045437,46.241486,0.15561931,19.184216,0.13788724,0.08099206,0.011837717
104,4044,3408,7564,85.23264,-69.75704,140.28625,7.9503784,2.1564686,6.340798,1.4272411,2.441815,7.0750046,1.6417847,70.54181,0.9181108,23.157476,0.5599821,0.42644963,0.11724495
105,34109,7439,5968,78.30759,-69.611626,27.040154,2.919578,0.86823165,1.5191195,0.5116778,4.0759234,14.663329,2.706402,121.35795,6.0123587,21.722017,1.2261723,0.16808613,0.06321159
106,1301,4382,3556,81.0265,-71.57517,150.1916,1.9033811,0.29047516,1.0432283,0.24516618,1.1441238,1.9234159,0.39250407,38.359665,0.32763878,18.740301,0.616346,0.18047278,0.05111225
107,903,4318,4428,81.77673,-71.15368,132.8217,1.176866,0.14917506,0.39770854,0.085779786,1.2970388,2.0242848,0.4301114,47.14759,0.7499141,19.611074,0.24061157,0.06989976,0.0107335085
108,391,3774,4846,82.92251,-71.067795,141.00468,4.546632,1.2776544,7.771385,1.6930587,1.1312124,1.5426621,0.32935518,52.448498,3.8146973e-06,23.551628,0.6723669,0.30749547,0.10350481
109,8596,2619,5661,85.273834,-70.899864,168.13106,1.4187492,0.3697123,0.5522389,0.21476798,2.839063,7.807919,1.972137,65.82589,0.2892347,19.21544,0.70883936,0.14108613,0.029273702
110,2502,2762,6380,85.49619,-70.49987,159.7853,2.367058,0.4781163,1.1212822,0.28958598,1.7526362,5.9527717,1.3594391,73.669,0.33847374,20.177618,0.35134935,0.17255566,0.025458977
111,894,2873,7675,86.09705,-69.808044,158.46715,2.0949373,0.6553033,1.2505026,0.47279567,1.4507219,2.8948967,0.7288739,53.87836,0.4010462,20.983347,0.329064,0.11044375,0.025183257
112,1927,6053,2191,77.294136,-71.81833,160.39653,0.6592731,0.070706606,0.18217075,0.050542913,1.6909679,5.1606064,1.219999,19.239449,0.087288775,15.871608,0.5346131,0.13034481,0.04345291
113,2086,6121,2160,77.16178,-71.814835,160.69539,0.58250475,0.05802595,0.1111002,0.041433007,1.4713107,2.9153843,0.69128394,19.036469,0.18401738,16.187305,0.4146011,0.07936743,0.015751654
114,1915,2689,5860,85.28887,-70.78299,164.51425,1.3873891,0.25360584,0.4963575,0.16495544,1.4224426,2.861966,0.5834821,67.35918,0.16715235,19.53269,0.21182413,0.12198416,0.023573443
115,4676,2817,6418,85.43533,-70.469154,157.87961,1.5444771,0.2897338,0.6778984,0.14902206,2.2830365,6.2415404,1.7027817,74.98611,1.0974709,20.444443,0.3200734,0.12076238,0.021528259
116,10550,6833,4553,78.0798,-70.46272,77.64831,1.9097075,0.43886048,1.1828469,0.45353952,2.8042817,9.146152,2.0583375,56.696243,1.596484,21.029093,2.0016408,0.1550068,0.044320066
117,7828,8159,6794,77.93156,-69.01763,20.524857,3.643345,1.1358335,1.8722254,0.52972186,1.9608612,5.869997,1.3604954,113.05809,2.1970224,21.3215,0.562079,0.17330167,0.03902389
118,849,2799,5725,85.03175,-70.82979,161.82623,1.585975,0.15940273,0.6536917,0.10970861,1.9577495,4.035225,1.1806091,67.91974,1.5258789e-05,19.323261,0.101458944,0.15404183,0.0127995135
119,18391,2707,8105,86.5895,-69.61759,167.11537,2.8506346,0.43358514,1.7251862,0.29002985,3.058589,9.296019,1.8940994,42.592224,1.0684384,20.807861,0.6016371,0.2756567,0.052621603
120,3343,4604,3422,80.57297,-71.5881,148.42912,1.1619825,0.34951344,0.8376967,0.3949335,2.0637207,6.039204,1.4599346,36.290443,0.30317482,20.461958,0.65783185,0.092894696,0.028152665
